Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrolled,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Summer Session,Class Location Description,City
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,709,Graduate,SEM ADV TOPS ACCT,10,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Iyer,Govind S",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,700,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Wilner,Neil Alan",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,701,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,705,Graduate,SPECIAL PROBLEM,5,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,709,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,712,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Curtis,Mary B",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,716,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,722,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Hutchison,Paul D",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,724,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,750,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Wilner,Neil Alan",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,751,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,759,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,762,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Curtis,Mary B",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,766,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,772,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Hutchison,Paul D",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6900,ACCT 6900,ACCT 6900,774,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6910,ACCT 6910,ACCT 6910,701,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Iyer,Govind S",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6910,ACCT 6910,ACCT 6910,705,Graduate,SPECIAL PROBLEM,10,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6910,ACCT 6910,ACCT 6910,724,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6910,ACCT 6910,ACCT 6910,751,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6910,ACCT 6910,ACCT 6910,755,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6910,ACCT 6910,ACCT 6910,774,Graduate,SPECIAL PROBLEM,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,705,Graduate,INDIV RESEARCH,5,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,750,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Wilner,Neil Alan",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,751,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Iyer,Govind S",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,752,Graduate,INDIV RESEARCH,0,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Iyer,Govind S",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,755,Graduate,INDIV RESEARCH,5,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,759,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,762,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Curtis,Mary B",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,766,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,772,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Hutchison,Paul D",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6940,ACCT 6940,ACCT 6940,774,Graduate,INDIV RESEARCH,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,700,Graduate,DISSERTATION,3,1,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Cazier,Richard Arnold",5W2,UNT Main Campus,Denton
